path,name,error,sensitive,cpf,rg,cep,nascimento,nome,telefone,email,error_msg
C:/Users/paula.romero.lopes\Accenture\A&D - SC&O Crisis Management - SNZ SAP DATA\Work orders,MAPPING_WO_EXTRACT.docx,0,1,0,0,0,1,1,0,0,
C:/Users/paula.romero.lopes\Accenture\BMW UK Palantir - General\02_Response_Docs,Accenture_Offer_ BMW UKI – Quality reports dashboard_v1.0.docx,0,1,0,0,1,1,1,1,0,
C:/Users/paula.romero.lopes\Accenture\BMW UK Palantir - General\03_Legal_Review,Accenture_Offer_ BMW UKI  Quality reports dashboard_v1.0.docx,0,1,0,0,1,1,1,1,0,
C:/Users/paula.romero.lopes\Accenture\BMW UK Palantir - General\03_Legal_Review,Legal Disclaimer for non-binding PDF.docx,0,1,0,0,0,0,1,0,0,
C:/Users/paula.romero.lopes\Accenture\BMW UK Palantir - General\04_Final_Offer,Accenture_Offer_ BMW UKI  Quality reports dashboard_v1.0.docx,0,1,0,0,1,1,1,1,0,
C:/Users/paula.romero.lopes\Accenture\BMW UK Palantir - General\99_Project_Workplace\Foundry Training,BMW_UK_Foundry_Documentation.docx,0,1,0,0,0,0,1,0,0,
C:/Users/paula.romero.lopes\Accenture\Intelligent Supply Chain Platform - ISCP\01_Micro_Services\02_Supply_Risk\00_Documentation,story.docx,1,,,,,,,,,Could not read the file.
C:/Users/paula.romero.lopes\Accenture\Intelligent Supply Chain Platform - ISCP\01_Micro_Services\02_Supply_Risk\01_Data\00_AIRBUS_DATA\00_ClientData\Work orders,MAPPING_WO_EXTRACT.docx,0,1,0,0,0,1,1,0,0,
C:/Users/paula.romero.lopes\Accenture\Intelligent Supply Chain Platform - ISCP\01_Micro_Services\02_Supply_Risk\01_Data\00_AIRBUS_DATA\00_ClientData\Work orders,~$PPING_WO_EXTRACT.docx,1,,,,,,,,,Could not read the file.
C:/Users/paula.romero.lopes\Accenture\Intelligent Supply Chain Platform - ISCP\01_Micro_Services\02_Supply_Risk\09_Code_other_projects\Airbus,Technical Tool Documentation.docx,0,1,0,0,0,1,1,0,0,
C:/Users/paula.romero.lopes\AppData\Local\Microsoft\Windows\INetCache\Content.Outlook\VVKR4PQA,impACT! Starter Kit-v15-20201007_163639.docx,0,1,0,0,0,0,1,0,0,
C:/Users/paula.romero.lopes\AppData\Local\Packages\oice_16_974fa576_32c1d314_23e0\AC\Temp,CA95BCCB.docx,0,1,0,0,0,0,1,0,0,
C:/Users/paula.romero.lopes\AppData\Local\Packages\oice_16_974fa576_32c1d314_2b77\AC\Temp,CF293991.docx,0,1,0,0,0,0,1,0,0,
C:/Users/paula.romero.lopes\AppData\Local\Packages\oice_16_974fa576_32c1d314_2b77\AC\Temp,D482CBD0.docx,0,1,0,0,0,0,1,0,0,
C:/Users/paula.romero.lopes\AppData\Local\Temp\TCD28F2.tmp,Text Sidebar (Annual Report Red and Black design).docx,0,1,0,0,0,0,1,0,0,
C:/Users/paula.romero.lopes\AppData\Roaming\Microsoft\Templates\LiveContent\16\Managed\Word Document Building Blocks\1033,TM02835233[[fn=Text Sidebar (Annual Report Red and Black design)]].docx,0,1,0,0,0,0,1,0,0,
C:/Users/paula.romero.lopes\Documents,H4.docx,0,1,0,0,0,0,1,0,0,
C:/Users/paula.romero.lopes\Documents,pspo.docx,0,2,2,0,0,0,1,0,0,
C:/Users/paula.romero.lopes\Documents,~$H4.docx,1,,,,,,,,,Could not read the file.
C:/Users/paula.romero.lopes\Documents,~$pspo.docx,1,,,,,,,,,Could not read the file.
C:/Users/paula.romero.lopes\Documents\book,Um desses días comuns de verão.docx,0,0,0,0,0,0,0,0,0,
C:/Users/paula.romero.lopes\Downloads,20-05-2020-attestation-de-deplacement-international-derogatoire-provenance-europe-en (1).docx,0,1,0,0,0,0,1,0,0,
C:/Users/paula.romero.lopes\Downloads,20-05-2020-attestation-de-deplacement-international-derogatoire-provenance-europe-en.docx,0,1,0,0,0,0,1,0,0,
C:/Users/paula.romero.lopes\Downloads,Arvore_PMS.docx,0,1,0,0,0,0,1,0,0,
C:/Users/paula.romero.lopes\Downloads,capitulo-8-calidad.docx,0,1,0,0,0,1,1,0,0,
C:/Users/paula.romero.lopes\Downloads,Como a ISO21001 pode ajudar a melhorar a Educação no Brasil revfel.docx,0,1,0,0,0,0,1,0,0,
C:/Users/paula.romero.lopes\Downloads,ISO 41001.docx,0,1,0,0,0,0,1,0,0,
C:/Users/paula.romero.lopes\Downloads,Job_description_PM_DataIntegration.docx,0,1,0,0,0,0,1,0,0,
C:/Users/paula.romero.lopes\Downloads,Predictivo Api-080e2481-74f9-473f-a970-000cc73b7a95 (1).docx,0,0,0,0,0,0,0,0,0,
C:/Users/paula.romero.lopes\Downloads,Predictivo Api-080e2481-74f9-473f-a970-000cc73b7a95.docx,0,0,0,0,0,0,0,0,0,
C:/Users/paula.romero.lopes\Downloads,Quality and PAM Implementation SOW2 030320 vFINAL.docx,0,1,0,0,0,1,1,0,0,
C:/Users/paula.romero.lopes\Downloads,Questions to be asked to the plant.docx,0,1,0,0,0,0,1,0,0,
C:/Users/paula.romero.lopes\Downloads,Resumen Pruebas GA-859-S (AutoRecovered).docx,0,1,0,0,0,0,1,0,0,
C:/Users/paula.romero.lopes\Downloads,Technology_Requirements and Procedure.docx,0,1,0,0,0,0,1,0,0,
C:/Users/paula.romero.lopes\OneDrive - Accenture\$MyAccentureCertificates,ReadMe.docx,0,1,0,0,0,0,1,0,0,
C:/Users/paula.romero.lopes\OneDrive - Accenture\01_Data\00_AIRBUS_DATA\00_ClientData\Work orders,MAPPING_WO_EXTRACT.docx,0,1,0,0,0,1,1,0,0,
C:/Users/paula.romero.lopes\OneDrive - Accenture\01_Data\00_AIRBUS_DATA\00_ClientData\Work orders,~$PPING_WO_EXTRACT.docx,1,,,,,,,,,Could not read the file.
"C:/Users/paula.romero.lopes\OneDrive - Accenture\bkp\paula.romero.lopes\Accenture\Velasco, Jose F. - REPSOL\Docs",Resumen Pruebas GA-859-S (AutoRecovered).docx,0,1,0,0,0,0,1,0,0,
"C:/Users/paula.romero.lopes\OneDrive - Accenture\bkp\paula.romero.lopes\Accenture\Velasco, Jose F. - REPSOL\Docs",Resumen Pruebas GA-859-S.docx,0,1,0,0,0,0,1,0,0,
C:/Users/paula.romero.lopes\OneDrive - Accenture\bkp\paula.romero.lopes\Documents,Serbia.docx,0,1,0,0,0,0,1,0,0,
C:/Users/paula.romero.lopes\OneDrive - Accenture\bkp\paula.romero.lopes\Documents\train\Mastering Tableau 10,V05423.docx,0,1,0,0,0,0,1,0,0,
C:/Users/paula.romero.lopes\OneDrive - Accenture\bkp\paula.romero.lopes\Projects\repsol\REPSOL\REPSOL\Docs,Modelo de Bearings no está validado.docx,0,0,0,0,0,0,0,0,0,
C:/Users/paula.romero.lopes\OneDrive - Accenture\bkp\paula.romero.lopes\Projects\repsol\REPSOL\REPSOL\Docs,Resumen Pruebas GA-859-S.docx,0,0,0,0,0,0,0,0,0,
C:/Users/paula.romero.lopes\OneDrive - Accenture\Microsoft Teams Chat Files,Questions to be asked to the plant.docx,0,1,0,0,0,0,1,0,0,
C:/Users/paula.romero.lopes\OneDrive - Accenture\Projects\bmw,questions_1stWS.docx,0,1,0,0,0,0,1,0,0,
C:/Users/paula.romero.lopes\OneDrive - Accenture\Projects\bmw,tsara_fields_english.docx,0,1,0,0,0,0,1,0,0,
C:/Users/paula.romero.lopes\OneDrive - Accenture\Projects\data_platform\code_modelos\DCReliabilityModelServing\documentacion,Resumen Pruebas GA-859-S (AutoRecovered).docx,0,1,0,0,0,0,1,0,0,
C:/Users/paula.romero.lopes\OneDrive - Accenture\Projects\Lafarge\mngt,POC.docx,0,1,0,0,0,0,1,0,0,
C:/Users/paula.romero.lopes\OneDrive - Accenture\Projects\repsol\REPSOL\REPSOL\Code\mllab\DCReliabilityModelServing\documentacion,Resumen Pruebas GA-859-S (AutoRecovered).docx,0,1,0,0,0,0,1,0,0,
C:/Users/paula.romero.lopes\OneDrive - Accenture\Projects\repsol\REPSOL\REPSOL\Docs,Modelo de Bearings no está validado.docx,0,0,0,0,0,0,0,0,0,
C:/Users/paula.romero.lopes\OneDrive - Accenture\Projects\repsol\REPSOL\REPSOL\Docs,Resumen Pruebas GA-859-S.docx,0,0,0,0,0,0,0,0,0,
C:/Users/paula.romero.lopes\OneDrive - Accenture\Projects\repsol\REPSOL\REPSOL\Docs\2019\igracion,mllab.docx,0,1,0,0,0,0,1,0,0,
C:/Users/paula.romero.lopes\OneDrive - Accenture\Projects\repsol\REPSOL\REPSOL\Docs\2019\igracion\Documentacion tecnica REPSOL\Documentacion tecnica REPSOL,Plantilla Peer Review edited.docx,0,1,0,0,0,0,1,0,0,
C:/Users/paula.romero.lopes\OneDrive - Accenture\project_repsol_bck_bck\repsol\REPSOL\REPSOL\Docs,Modelo de Bearings no está validado.docx,0,0,0,0,0,0,0,0,0,
C:/Users/paula.romero.lopes\OneDrive - Accenture\project_repsol_bck_bck\repsol\REPSOL\REPSOL\Docs,Resumen Pruebas GA-859-S.docx,0,0,0,0,0,0,0,0,0,
C:/Users/paula.romero.lopes\Projects\qgis\Qgis - Trial Project,Trial Project - Instructions.docx,0,1,0,0,0,0,1,0,0,
C:/Users/paula.romero.lopes\Projects\solar-mc,Como a ISO21001 pode ajudar a melhorar a Educação no Brasil.docx,0,1,0,0,0,0,1,0,0,
C:/Users/paula.romero.lopes\Projects\solar-mc,ISO 21001.docx,0,0,0,0,0,0,0,0,0,
